ABL1,NM_005157
KIF18A,NM_031217
METTL15,NM_001113528
KCNA4,NM_002233
FSHB,NM_001382289
ARL14EP,NM_152316
MPPED2,NM_001584
DCDC1,NM_001387274
DNAJC24,NM_181706
IMMP1L,NM_001304274
ELP4,NM_019040
PAX6,NM_001368894
RCN1,NM_002901
EIF3M,NM_006360
CCDC73,NM_001008391
PRRG4,NM_024081
QSER1,NM_001076786
DEPDC7,NM_001077242
TCP11L1,NM_018393
CSTF3,NM_001326
HIPK3,NM_005734
KIAA1549L,NM_012194
C11orf91,NM_001166692
CD59,NM_000611
FBXO3,NM_012175
LMO2,NM_005574
CAPRIN1,NM_005898
NAT10,NM_024662
ABTB2,NM_145804
CAT,NM_001752
ELF5,NM_001422
EHF,NM_012153
APIP,NM_015957
PDHX,NM_003477
CD44,NM_000610
SLC1A2,NM_004171
PAMR1,NM_001001991
FJX1,NM_014344
TRIM44,NM_017583
LDLRAD3,NM_174902
COMMD9,NM_014186
PRR5L,NM_001160167
TRAF6,NM_004620
RAG1,NM_000448
RAG2,NM_000536
IFTAP,NM_138787
LRRC4C,NM_001258419
API5,NM_001142930
TTC17,NM_018259
HSD17B12,NM_016142
ALKBH3,NM_139178
C11orf96,NM_001145033
ACCSL,NM_001031854
ACCS,NM_032592
EXT2,NM_207122
ALX4,NM_021926
CD82,NM_002231
TSPAN18,NM_130783
TP53I11,NM_006034
PRDM11,NM_001384648
SYT13,NM_020826
CHST1,NM_003654
SLC35C1,NM_018389
CRY2,NM_021117
MAPK8IP1,NM_005456
C11orf94,NM_001080446
PEX16,NM_004813
LARGE2,NM_001300721
PHF21A,NM_001352027
CREB3L1,NM_052854
MDK,NM_002391
CHRM4,NM_000741
AMBRA1,NM_001387011
HARBI1,NM_173811
ATG13,NM_001346311
ARHGAP1,NM_004308
ZNF408,NM_024741
F2,NM_000506
CKAP5,NM_001008938
LRP4,NM_002334
C11orf49,NM_024113
ARFGAP2,NM_032389
PACSIN3,NM_016223
DDB2,NM_000107
ACP2,NM_001610
NR1H3,NM_005693
MYBPC3,NM_000256
SPI1,NM_003120
SLC39A13,NM_001128225
PSMC3,NM_002804
RAPSN,NM_005055
CELF1,NM_001376376
NDUFS3,NM_004551
PTPMT1,NM_175732
KBTBD4,NM_018095
FAM180B,NM_001164379
C1QTNF4,NM_031909
MTCH2,NM_014342
AGBL2,NM_024783
FNBP4,NM_015308
PTPRJ,NM_002843
OR4B1,NM_001005470
OR4X2,NM_001004727
OR4X1,NM_001004726
OR4S1,NM_001004725
OR4C3,NM_001004702
OR4C5,NM_001348223
OR4A47,NM_001005512
TRIM49B,NM_001206626
TRIM64C,NM_001206631
FOLH1,NM_004476
OR4C13,NM_001001955
OR4C12,NM_001005270
OR4C46,NM_001004703
OR4A5,NM_001005272
TRIM48,NM_024114
OR4A16,NM_001005274
OR4C15,NM_001001920
OR4C16,NM_001004701
OR4C11,NM_001004700
OR4S2,NM_001004059
OR4C6,NM_001004704
OR5D13,NM_001001967
OR5D14,NM_001004735
OR5L1,NM_001004738
OR5D18,NM_001001952
OR5L2,NM_001004739
OR5D16,NM_001005496
TRIM51,NM_032681
OR5W2,NM_001001960
OR5I1,NM_006637
OR10AG1,NM_001005491
OR5F1,NM_003697
OR5AS1,NM_001001921
OR8I2,NM_001003750
OR8H2,NM_001386064
OR8H3,NM_001005201
OR8J3,NM_001004064
OR8K5,NM_001004058
OR5J2,NM_001005492
OR5T2,NM_001004746
OR5T3,NM_001004747
OR5T1,NM_001004745
OR8H1,NM_001005199
OR8K3,NM_001005202
OR8K1,NM_001002907
OR8J1,NM_001005205
OR8U1,NM_001005204
OR8U3,NM_001004744
OR5M9,NM_001004743
OR5M3,NM_001004742
OR5M8,NM_001005282
OR5M11,NM_001005245
OR5M10,NM_001004741
OR5M1,NM_001004740
OR5AP2,NM_001002925
OR5AR1,NM_001004730
OR9G1,NM_001005213
OR9G4,NM_001005284
OR5AK2,NM_001005323
LRRC55,NM_001005210
APLNR,NM_005161
TNKS1BP1,NM_033396
SSRP1,NM_003146
P2RX3,NM_002559
PRG3,NM_006093
PRG2,NM_002728
SLC43A3,NM_199329
RTN4RL2,NM_178570
SLC43A1,NM_003627
TIMM10,NM_012456
SMTNL1,NM_001105565
UBE2L6,NM_004223
SERPING1,NM_000062
YPEL4,NM_145008
CLP1,NM_006831
ZDHHC5,NM_015457
TMX2,NM_015959
SELENOH,NM_170746
BTBD18,NM_001145101
CTNND1,NM_001085458
OR9Q1,NM_001005212
OR6Q1,NM_001005186
OR9I1,NM_001005211
OR9Q2,NM_001005283
OR10Q1,NM_001004471
OR10W1,NM_207374
OR5B17,NM_001005489
OR5B3,NM_001005469
OR5B2,NM_001005566
OR5B12,NM_001004733
OR5B21,NM_001005218
LPXN,NM_004811
ZFP91,NM_053023
CNTF,NM_000614
GLYAT,NM_201648
GLYATL2,NM_145016
GLYATL1,NM_001389712
GLYATL1B,NM_001355566
FAM111B,NM_198947
FAM111A,NM_001312909
DTX4,NM_015177
MPEG1,NM_001039396
OR5AN1,NM_001004729
OR5A2,NM_001001954
OR5A1,NM_001004728
OR4D6,NM_001004708
OR4D10,NM_001004705
OR4D11,NM_001004706
OR4D9,NM_001004711
OSBP,NM_002556
PATL1,NM_152716
OR10V1,NM_001005324
STX3,NM_004177
MRPL16,NM_017840
CBLIF,NM_005142
TCN1,NM_001062
OOSP2,NM_173801
MS4A3,NM_006138
MS4A2,NM_000139
MS4A6A,NM_022349
MS4A4A,NM_148975
MS4A4E,NM_001393391
MS4A6E,NM_139249
MS4A7,NM_021201
MS4A14,NM_032597
MS4A5,NM_023945
MS4A1,NM_152866
MS4A12,NM_017716
MS4A13,NM_001012417
MS4A8,NM_031457
MS4A15,NM_001098835
MS4A10,NM_206893
CCDC86,NM_024098
PTGDR2,NM_004778
ZP1,NM_207341
PRPF19,NM_014502
TMEM109,NM_024092
TMEM132A,NM_178031
SLC15A3,NM_016582
CD6,NM_006725
CD5,NM_014207
VPS37C,NM_017966
PGA3,NM_001079807
PGA4,NM_001079808
PGA5,NM_014224
VWCE,NM_152718
DDB1,NM_001923
TKFC,NM_015533
CYB561A3,NM_153611
TMEM138,NM_016464
TMEM216,NM_001173990
CPSF7,NM_001142565
PPP1R32,NM_145017
LRRC10B,NM_001145077
SYT7,NM_001365809
DAGLA,NM_006133
MYRF,NM_001127392
TMEM258,NM_014206
FEN1,NM_004111
FADS2,NM_004265
FADS1,NM_013402
FADS3,NM_021727
RAB3IL1,NM_013401
BEST1,NM_004183
FTH1,NM_002032
INCENP,NM_001040694
SCGB1D1,NM_006552
SCGB2A1,NM_002407
SCGB1D2,NM_006551
SCGB2A2,NM_002411
SCGB1D4,NM_206998
ASRGL1,NM_001083926
SCGB1A1,NM_003357
AHNAK,NM_001620
EEF1G,NM_001404
TUT1,NM_022830
MTA2,NM_004739
EML3,NM_153265
ROM1,NM_000327
B3GAT3,NM_012200
GANAB,NM_198334
INTS5,NM_030628
C11orf98,NM_001286086
LBHD1,NM_024099
CSKMT,NM_001043229
UQCC3,NM_001085372
UBXN1,NM_001286077
LRRN4CL,NM_203422
BSCL2,NM_001122955
GNG3,NM_012202
HNRNPUL2,NM_001079559
TTC9C,NM_173810
ZBTB3,NM_001370809
POLR2G,NM_002696
TAF6L,NM_006473
TMEM223,NM_001080501
TMEM179B,NM_199337
NXF1,NM_006362
STX5,NM_003164
WDR74,NM_001369450
SLC3A2,NM_001013251
CHRM1,NM_000738
SLC22A6,NM_153276
SLC22A8,NM_004254
SLC22A24,NM_001136506
SLC22A25,NM_199352
SLC22A10,NM_001039752
SLC22A9,NM_080866
PLAAT5,NM_001146729
LGALS12,NM_033101
PLAAT4,NM_004585
PLAAT2,NM_017878
PLAAT3,NM_001128203
ATL3,NM_015459
RTN3,NM_001265589
ZFTA,NM_001144936
SPINDOC,NM_138471
MARK2,NM_001039469
RCOR2,NM_173587
NAA40,NM_024771
COX8A,NM_004074
OTUB1,NM_017670
MACROD1,NM_014067
FLRT1,NM_013280
STIP1,NM_006819
FERMT3,NM_031471
TRPT1,NM_001033678
NUDT22,NM_032344
DNAJC4,NM_005528
VEGFB,NM_003377
FKBP2,NM_004470
RP11-783K16.16,NM_001370414
PPP1R14B,NM_138689
PLCB3,NM_000932
BAD,NM_032989
GPR137,NM_001170880
KCNK4,NM_033310
CATSPERZ,NM_001039496
ESRRA,NM_004451
TRMT112,NM_016404
PRDX5,NM_012094
CCDC88B,NM_032251
SLC22A11,NM_018484
SLC22A12,NM_144585
NRXN2,NM_015080
RASGRP2,NM_001098671
PYGM,NM_005609
SF1,NM_004630
MAP4K2,NM_004579
CDC42BPG,NM_017525
EHD1,NM_006795
ATG2A,NM_015104
PPP2R5B,NM_006244
GPHA2,NM_130769
MAJIN,NM_001037225
BATF2,NM_138456
ARL2,NM_001667
SNX15,NM_013306
SAC3D1,NM_013299
NAALADL1,NM_005468
CDCA5,NM_080668
ZFPL1,NM_006782
TMEM262,NM_001282448
VPS51,NM_013265
TM7SF2,NM_003273
ZNHIT2,NM_014205
FAU,NM_001997
SYVN1,NM_172230
MRPL49,NM_004927
CAPN1,NM_005186
POLA2,NM_002689
CDC42EP2,NM_006779
DPF2,NM_006268
TIGD3,NM_145719
SLC25A45,NM_182556
FRMD8,NM_031904
SCYL1,NM_020680
LTBP3,NM_001130144
ZNRD2,NM_006396
FAM89B,NM_001098785
EHBP1L1,NM_001099409
KCNK7,NM_033347
MAP3K11,NM_002419
PCNX3,NM_032223
SIPA1,NM_006747
RELA,NM_021975
KAT5,NM_182710
RNASEH2C,NM_032193
AP5B1,NM_138368
OVOL1,NM_004561
CFL1,NM_005507
SNX32,NM_152760
MUS81,NM_025128
EFEMP2,NM_016938
CTSW,NM_001335
FIBP,NM_004214
CCDC85B,NM_006848
FOSL1,NM_005438
C11orf68,NM_001135635
DRAP1,NM_006442
SART1,NM_005146
EIF1AD,NM_001242481
BANF1,NM_003860
CST6,NM_001323
CATSPER1,NM_053054
GAL3ST3,NM_033036
SF3B2,NM_006842
PACS1,NM_018026
KLC2,NM_001318734
RAB1B,NM_030981
CNIH2,NM_182553
YIF1A,NM_020470
TMEM151A,NM_153266
CD248,NM_020404
RIN1,NM_004292
BRMS1,NM_015399
B4GAT1,NM_006876
SLC29A2,NM_001532
NPAS4,NM_178864
MRPL11,NM_016050
PELI3,NM_145065
DPP3,NM_130443
BBS1,NM_024649
ZDHHC24,NM_207340
ACTN3,NM_001104
CTSF,NM_003793
CCDC87,NM_018219
CCS,NM_005125
RBM14,NM_006328
RBM4,NM_002896
RBM4B,NM_031492
SPTBN2,NM_006946
C11orf80,NM_001302084
RCE1,NM_005133
PC,NM_001040716
LRFN4,NM_024036
C11orf86,NM_001353554
SYT12,NM_177963
RHOD,NM_014578
KDM2A,NM_012308
GRK2,NM_001619
ANKRD13D,NM_207354
SSH3,NM_017857
RAD9A,NM_004584
POLD4,NM_021173
CLCF1,NM_013246
PPP1CA,NM_002708
TBC1D10C,NM_001369496
CARNS1,NM_001166222
PTPRCAP,NM_005608
CORO1B,NM_020441
GPR152,NM_206997
CABP4,NM_145200
TMEM134,NM_025124
AIP,NM_003977
PITPNM1,NM_004910
CDK2AP2,NM_005851
CABP2,NM_016366
GSTP1,NM_000852
NDUFV1,NM_007103
NUDT8,NM_001243750
TBX10,NM_005995
ACY3,NM_080658
UNC93B1,NM_030930
ALDH3B1,NM_000694
NDUFS8,NM_002496
TCIRG1,NM_006019
CHKA,NM_001277
KMT5B,NM_017635
C11orf24,NM_022338
LRP5,NM_002335
PPP6R3,NM_001164161
GAL,NM_015973
TESMIN,NM_004923
CPT1A,NM_001876
MRPL21,NM_181514
IGHMBP2,NM_002180
MRGPRD,NM_198923
MRGPRF,NM_145015
TPCN2,NM_139075
SMIM38,NM_001369201
MYEOV,NM_001293291
LTO1,NM_153451
ANO1,NM_018043
FADD,NM_003824
PPFIA1,NM_003626
CTTN,NM_005231
SHANK2,NM_012309
DHCR7,NM_001360
NADSYN1,NM_018161
KRTAP5-7,NM_001012503
KRTAP5-8,NM_021046
KRTAP5-9,NM_005553
KRTAP5-10,NM_001012710
KRTAP5-11,NM_001005405
DEFB108B,NM_001002035
RP11-849H4.2,NM_001375847
DEFB131B,NM_001242853
RNF121,NM_018320
IL18BP,NM_001039660
NUMA1,NM_006185
LRRC51,NM_145309
LAMTOR1,NM_017907
ANAPC15,NM_014042
FOLR3,NM_000804
FOLR1,NM_016729
FOLR2,NM_000803
PHOX2A,NM_005169
CLPB,NM_030813
PDE2A,NM_002599
ARAP1,NM_001040118
STARD10,NM_006645
ATG16L2,NM_033388
FCHSD2,NM_014824
P2RY2,NM_002564
P2RY6,NM_001277204
ARHGEF17,NM_014786
RELT,NM_152222
FAM168A,NM_015159
PLEKHB1,NM_021200
RAB6A,NM_198896
MRPL48,NM_016055
COA4,NM_016565
PAAF1,NM_025155
DNAJB13,NM_153614
UCP2,NM_003355
UCP3,NM_003356
C2CD3,NM_001286577
PPME1,NM_016147
P4HA3,NM_182904
PGM2L1,NM_173582
KCNE3,NM_005472
LIPT2,NM_001144869
POLD3,NM_006591
CHRDL2,NM_001278473
RNF169,NM_001098638
XRRA1,NM_001378157
SPCS2,NM_014752
NEU3,NM_006656
SLCO2B1,NM_007256
TPBGL,NM_001195528
ARRB1,NM_004041
RPS3,NM_001005
KLHL35,NM_001039548
GDPD5,NM_030792
SERPINH1,NM_001235
MAP6,NM_033063
MOGAT2,NM_025098
DGAT2,NM_032564
UVRAG,NM_003369
WNT11,NM_004626
THAP12,NM_004705
GVQW3,NM_001347885
LRRC32,NM_001128922
TSKU,NM_015516
ACER3,NM_018367
B3GNT6,NM_138706
CAPN5,NM_004055
OMP,NM_006189
MYO7A,NM_000260
GDPD4,NM_182833
CLNS1A,NM_001293
AQP11,NM_173039
RSF1,NM_016578
AAMDC,NM_024684
INTS4,NM_033547
KCTD14,NM_023930
THRSP,NM_003251
NDUFC2,NM_004549
ALG8,NM_024079
KCTD21,NM_001029859
USP35,NM_020798
GAB2,NM_080491
NARS2,NM_024678
TENM4,NM_001098816
FAM181B,NM_175885
PRCP,NM_005040
DDIAS,NM_145018
RAB30,NM_001286060
ANKRD42,NM_001300975
CCDC90B,NM_021825
DLG2,NM_001142699
TMEM126B,NM_018480
TMEM126A,NM_032273
CREBZF,NM_001039618
CCDC89,NM_152723
SYTL2,NM_206927
CCDC83,NM_001286159
PICALM,NM_007166
HIKESHI,NM_016401
CCDC81,NM_001156474
PRSS23,NM_007173
FZD4,NM_012193
TMEM135,NM_022918
RAB38,NM_022337
CTSC,NM_001814
GRM5,NM_001143831
TYR,NM_000372
NOX4,NM_016931
TRIM77,NM_001146162
TRIM49,NM_020358
TRIM49D1,NM_001384911
TRIM49D2,NM_001105522
TRIM49C,NM_001195234
UBTFL1,NM_001143975
NAALAD2,NM_005467
CHORDC1,NM_012124
FAT3,NM_001367949
MTNR1B,NM_005959
SLC36A4,NM_152313
DEUP1,NM_181645
SMCO4,NM_020179
CEP295,NM_033395
TAF1D,NM_024116
C11orf54,NM_001286069
MED17,NM_004268
VSTM5,NM_001144871
HEPHL1,NM_001098672
PANX1,NM_015368
IZUMO1R,NM_001199206
GPR83,NM_016540
MRE11,NM_005591
ANKRD49,NM_017704
C11orf97,NM_001190462
PIWIL4,NM_152431
FUT4,NM_002033
AMOTL1,NM_130847
CWC15,NM_016403
KDM4D,NM_018039
KDM4E,NM_001161630
SRSF8,NM_032102
ENDOD1,NM_015036
FAM76B,NM_144664
CEP57,NM_014679
MTMR2,NM_016156
MAML2,NM_032427
CCDC82,NM_024725
JRKL,NM_001261833
CNTN5,NM_014361
ARHGAP42,NM_152432
TRPC6,NM_004621
ANGPTL5,NM_178127
CEP126,NM_020802
CFAP300,NM_032930
BIRC2,NM_001166
TMEM123,NM_052932
MMP7,NM_002423
MMP20,NM_004771
MMP27,NM_022122
MMP8,NM_002424
MMP10,NM_002425
MMP1,NM_002421
MMP3,NM_002422
MMP12,NM_002426
MMP13,NM_002427
DCUN1D5,NM_032299
DYNC2H1,NM_001377
PDGFD,NM_025208
DDI1,NM_001001711
CASP4,NM_001225
CASP5,NM_004347
CASP1,NM_001257118
CARD16,NM_052889
CARD18,NM_021571
GRIA4,NM_000829
MSANTD4,NM_032424
KBTBD3,NM_198439
AASDHPPT,NM_015423
GUCY1A2,NM_000855
CWF19L2,NM_152434
ALKBH8,NM_138775
ELMOD1,NM_018712
SLN,NM_003063
SLC35F2,NM_017515
RAB39A,NM_017516
CUL5,NM_003478
ACAT1,NM_000019
NPAT,NM_002519
C11orf65,NM_152587
POGLUT3,NM_153705
EXPH5,NM_015065
DDX10,NM_004398
C11orf87,NM_207645
RDX,NM_002906
ZC3H12C,NM_033390
FDX1,NM_004109
ARHGAP20,NM_001384657
C11orf53,NM_198498
COLCA2,NM_001271458
POU2AF1,NM_006235
BTG4,NM_001367975
HOATZ,NM_001100388
LAYN,NM_178834
SIK2,NM_015191
PPP2R1B,NM_002716
ALG9,NM_024740
FDXACB1,NM_138378
C11orf1,NM_022761
CRYAB,NM_001289808
HSPB2,NM_001541
C11orf52,NM_080659
DIXDC1,NM_001037954
DLAT,NM_001931
PIH1D2,NM_138789
NKAPD1,NM_018195
TIMM8B,NM_012459
IL18,NM_001562
TEX12,NM_031275
BCO2,NM_031938
PTS,NM_000317
PLET1,NM_001145024
NCAM1,NM_181351
TTC12,NM_017868
ANKK1,NM_178510
DRD2,NM_000795
TMPRSS5,NM_030770
ZW10,NM_004724
HTR3B,NM_006028
HTR3A,NM_000869
ZBTB16,NM_006006
NNMT,NM_006169
C11orf71,NM_001271562
RBM7,NM_001286045
REXO2,NM_015523
NXPE4,NM_001077639
NXPE2,NM_182495
CADM1,NM_001301043
BUD13,NM_032725
ZPR1,NM_003904
APOA5,NM_001371904
APOA4,NM_000482
APOC3,NM_000040
APOA1,NM_000039
SIK3,NM_001366686
PAFAH1B2,NM_002572
SIDT2,NM_001040455
TAGLN,NM_003186
PCSK7,NM_004716
RNF214,NM_207343
BACE1,NM_012104
CEP164,NM_014956
DSCAML1,NM_020693
FXYD2,NM_001680
FXYD6,NM_022003
TMPRSS13,NM_001077263
IL10RA,NM_001558
SMIM35,NM_001394165
TMPRSS4,NM_019894
SCN4B,NM_174934
SCN2B,NM_004588
JAML,NM_001098526
MPZL3,NM_198275
MPZL2,NM_005797
CD3E,NM_000733
CD3D,NM_000732
CD3G,NM_000073
UBE4A,NM_001204077
ATP5MG,NM_006476
TTC36,NM_001080441
TMEM25,NM_032780
IFT46,NM_001168618
ARCN1,NM_001655
PHLDB1,NM_001144758
TREH,NM_007180
DDX6,NM_004397
CXCR5,NM_001716
BCL9L,NM_001378213
UPK2,NM_006760
FOXR1,NM_181721
CENATAC,NM_198489
RPS25,NM_001028
TRAPPC4,NM_016146
HYOU1,NM_006389
VPS11,NM_021729
HMBS,NM_000190
H2AX,NM_002105
DPAGT1,NM_001382
C2CD2L,NM_001290474
HINFP,NM_198971
ABCG4,NM_022169
NLRX1,NM_001282144
PDZD3,NM_001168468
CCDC153,NM_001145018
MCAM,NM_006500
RNF26,NM_032015
C1QTNF5,NM_001278431
MFRP,NM_031433
USP2,NM_004205
THY1,NM_006288
NECTIN1,NM_002855
TRIM29,NM_012101
OAF,NM_178507
POU2F3,NM_014352
TLCD5,NM_001198671
ARHGEF12,NM_015313
GRIK4,NM_014619
TBCEL,NM_001363644
TECTA,NM_005422
SC5D,NM_006918
SORL1,NM_003105
BLID,NM_001001786
UBASH3B,NM_032873
CRTAM,NM_019604
JHY,NM_024806
BSX,NM_001098169
HSPA8,NM_006597
CLMP,NM_024769
GRAMD1B,NM_001387025
SCN3B,NM_001040151
ZNF202,NM_003455
OR6X1,NM_001005188
OR6M1,NM_001005325
TMEM225,NM_001013743
OR8D4,NM_001005197
OR4D5,NM_001001965
OR6T1,NM_001005187
OR10G6,NM_001355219
OR10G4,NM_001004462
OR10G9,NM_001001953
OR10G8,NM_001004464
OR10G7,NM_001004463
VWA5A,NM_001130142
OR8G1,NM_001002905
OR8G5,NM_001005198
OR8D1,NM_001002917
OR8D2,NM_001002918
OR8B2,NM_001005468
OR8B3,NM_001005467
OR8B4,NM_001005196
OR8B8,NM_012378
OR8B12,NM_001005195
OR8A1,NM_001005194
PANX3,NM_052959
TBRG1,NM_032811
SIAE,NM_170601
SPA17,NM_017425
NRGN,NM_006176
VSIG2,NM_014312
ESAM,NM_138961
MSANTD2,NM_001308027
ROBO3,NM_022370
ROBO4,NM_019055
HEPACAM,NM_152722
CCDC15,NM_025004
SLC37A2,NM_001145290
TMEM218,NM_001258244
PKNOX2,NM_001382323
FEZ1,NM_005103
EI24,NM_004879
STT3A,NM_152713
ACRV1,NM_001612
PATE1,NM_138294
PATE2,NM_212555
PATE3,NM_001129883
PATE4,NM_001144874
HYLS1,NM_001134793
PUS3,NM_031307
DDX25,NM_013264
VSIG10L2,NM_001365077
CDON,NM_001378964
RPUSD4,NM_032795
FAM118B,NM_024556
SRPRA,NM_003139
FOXRED1,NM_017547
TIRAP,NM_001318777
DCPS,NM_014026
ST3GAL4,NM_001254757
KIRREL3,NM_032531
ETS1,NM_001143820
FLI1,NM_002017
KCNJ1,NM_153766
KCNJ5,NM_000890
TP53AIP1,NM_022112
ARHGAP32,NM_001378024
BARX2,NM_003658
TMEM45B,NM_138788
NFRKB,NM_001143835
PRDM10,NM_199437
APLP2,NM_001142276
ST14,NM_021978
ZBTB44,NM_001301098
ADAMTS8,NM_007037
ADAMTS15,NM_139055
SNX19,NM_014758
NTM,NM_001352005
OPCML,NM_001012393
SPATA19,NM_174927
IGSF9B,NM_001277285
JAM3,NM_032801
NCAPD3,NM_015261
VPS26B,NM_052875
THYN1,NM_014174
ACAD8,NM_014384
GLB1L3,NM_001080407
GLB1L2,NM_001370461
B3GAT1,NM_054025
IQSEC3,NM_001170738
SLC6A12,NM_001122848
SLC6A13,NM_016615
CCDC77,NM_032358
B4GALNT3,NM_173593
NINJ2,NM_016533
WNK1,NM_018979
ERC1,NM_178040
WNT5B,NM_032642
FBXL14,NM_152441
ADIPOR2,NM_024551
CACNA2D4,NM_172364
LRTM2,NM_001039029
DCP1B,NM_152640
CACNA1C,NM_001167623
FKBP4,NM_002014
ITFG2,NM_018463
NRIP2,NM_031474
TEX52,NM_001365174
FOXM1,NM_021953
RHNO1,NM_001252499
TULP3,NM_003324
TEAD4,NM_003213
TSPAN9,NM_006675
PRMT8,NM_019854
CRACR2A,NM_001144958
PARP11,NM_020367
TIGAR,NM_020375
FGF23,NM_020638
FGF6,NM_020996
C12orf4,NM_020374
RAD51AP1,NM_006479
DYRK4,NM_001394779
AKAP3,NM_001278309
NDUFA9,NM_005002
GALNT8,NM_017417
KCNA1,NM_000217
KCNA5,NM_002234
NTF3,NM_001102654
ANO2,NM_001364791
VWF,NM_000552
CD9,NM_001769
PLEKHG6,NM_001384598
TNFRSF1A,NM_001065
SCNN1A,NM_001038
LTBR,NM_002342
CD27,NM_001242
TAPBPL,NM_018009
VAMP1,NM_014231
MRPL51,NM_016497
NCAPD2,NM_014865
GAPDH,NM_002046
IFFO1,NM_001193457
NOP2,NM_001258308
CHD4,NM_001273
LPAR5,NM_020400
ACRBP,NM_032489
ING4,NM_016162
ZNF384,NM_001385745
PIANP,NM_001244014
COPS7A,NM_001164094
MLF2,NM_001382226
PTMS,NM_002824
LAG3,NM_002286
CD4,NM_000616
GPR162,NM_019858
P3H3,NM_014262
GNB3,NM_002075
CDCA3,NM_031299
USP5,NM_001098536
TPI1,NM_000365
SPSB2,NM_032641
LRRC23,NM_001135217
ENO2,NM_001975
ATN1,NM_001940
C12orf57,NM_138425
PTPN6,NM_002831
PHB2,NM_001144831
EMG1,NM_006331
LPCAT3,NM_005768
C1S,NM_001734
C1R,NM_001733
C1RL,NM_016546
RBP5,NM_031491
CLSTN3,NM_014718
PEX5,NM_001351132
ACSM4,NM_001080454
CD163L1,NM_174941
CD163,NM_203416
APOBEC1,NM_001644
GDF3,NM_020634
DPPA3,NM_199286
CLEC4C,NM_001371390
NANOGNB,NM_001145465
NANOG,NM_024865
SLC2A14,NM_001286234
SLC2A3,NM_006931
FOXJ2,NM_018416
C3AR1,NM_004054
NECAP1,NM_015509
CLEC4A,NM_016184
FAM90A1,NM_018088
CLEC6A,NM_001007033
CLEC4D,NM_080387
CLEC4E,NM_014358
AICDA,NM_020661
MFAP5,NM_003480
RIMKLB,NM_001297776
A2ML1,NM_144670
PHC1,NM_004426
M6PR,NM_002355
KLRG1,NM_005810
A2M,NM_000014
PZP,NM_002864
KLRB1,NM_002258
CLEC2D,NM_013269
CD69,NM_001781
KLRF1,NM_016523
CLEC2B,NM_005127
KLRF2,NM_001190765
CLEC2A,NM_001130711
CLEC12A,NM_138337
CLEC1B,NM_016509
CLEC12B,NM_001129998
CLEC9A,NM_207345
CLEC1A,NM_016511
CLEC7A,NM_197947
OLR1,NM_002543
TMEM52B,NM_001384896
GABARAPL1,NM_031412
KLRD1,NM_002262
KLRK1,NM_007360
KLRC4,NM_013431
KLRC3,NM_002261
KLRC2,NM_002260
KLRC1,NM_002259
EIF2S3B,NM_001357734
MAGOHB,NM_018048
STYK1,NM_018423
YBX3,NM_003651
TAS2R7,NM_023919
TAS2R8,NM_023918
TAS2R9,NM_023917
PRH1,NM_001393989
PRR4,NM_007244
TAS2R13,NM_023920
PRH2,NM_001110213
TAS2R50,NM_176890
TAS2R20,NM_176889
TAS2R19,NM_176888
TAS2R31,NM_176885
TAS2R46,NM_176887
TAS2R43,NM_176884
SMIM10L1,NM_001271592
TAS2R42,NM_181429
PRB3,NM_001394862
PRB4,NM_002723
PRB2,NM_006248
BCL2L14,NM_138723
LRP6,NM_002336
MANSC1,NM_018050
BORCS5,NM_058169
DUSP16,NM_030640
CREBL2,NM_001310
GPR19,NM_006143
APOLD1,NM_030817
DDX47,NM_016355
GPRC5A,NM_003979
HEBP1,NM_015987
FAM234B,NM_020853
GSG1,NM_001080555
EMP1,NM_001423
GRIN2B,NM_000834
ATF7IP,NM_018179
PLBD1,NM_024829
GUCY2C,NM_004963
H4-16,NM_175054
H2AJ,NM_177925
WBP11,NM_016312
C12orf60,NM_175874
SMCO3,NM_001013698
ART4,NM_021071
MGP,NM_000900
ERP27,NM_152321
ARHGDIB,NM_001175
PDE6H,NM_006205
RERG,NM_032918
PTPRO,NM_030667
EPS8,NM_004447
STRAP,NM_007178
DERA,NM_015954
SLC15A5,NM_001170798
MGST1,NM_020300
LMO3,NM_018640
RERGL,NM_001286201
PLCZ1,NM_033123
CAPZA3,NM_033328
PLEKHA5,NM_001256470
AEBP2,NM_153207
PDE3A,NM_000921
SLCO1C1,NM_017435
SLCO1B3,NM_019844
SLCO1B1,NM_006446
SLCO1A2,NM_001386879
IAPP,NM_000415
PYROXD1,NM_024854
GOLT1B,NM_016072
SPX,NM_030572
GYS2,NM_021957
LDHB,NM_002300
KCNJ8,NM_004982
ABCC9,NM_020297
CMAS,NM_018686
ST8SIA1,NM_003034
C2CD5,NM_001286176
ETNK1,NM_018638
SOX5,NM_006940
BCAT1,NM_005504
IRAG2,NM_001366544
DNAI7,NM_018272
ETFRF1,NM_001001660
LMNTD1,NM_001145728
RASSF8,NM_001394098
BHLHE41,NM_030762
SSPN,NM_005086
ITPR2,NM_002223
INTS13,NM_018164
FGFR1OP2,NM_015633
TM7SF3,NM_016551
MED21,NM_004264
C12orf71,NM_001080406
STK38L,NM_015000
ARNTL2,NM_020183
PPFIBP1,NM_003622
REP15,NM_001029874
MRPS35,NM_021821
MANSC4,NM_001146221
KLHL42,NM_020782
PTHLH,NM_198965
CCDC91,NM_018318
FAR2,NM_001271783
ERGIC2,NM_016570
TMTC1,NM_001193451
